"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Region of Origin","Cause of Death","Country of Origin","Location of death","Information Source",Coordinates,"Migration route",URL,"UNSD Geographical Grouping","Source Quality"
2023.MMP0547,2023.MMP0547,"North America","Sat, 05/20/2023 - 12:00",2023,May,1,,1,,,1,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location) - Est. YOD 2018 - 2022","Pima County Office of the Medical Examiner","32.306178, -111.34988","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0548,2023.MMP0548,"North America","Fri, 05/26/2023 - 12:00",2023,May,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,"Pinal County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","32.6839, -111.976","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0549,2023.MMP0549,"North America","Mon, 05/29/2023 - 12:00",2023,May,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location) - Est. YOD 2023","Pima County Office of the Medical Examiner","31.50346, -111.418702","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0550,2023.MMP0550,"North America","Mon, 05/29/2023 - 12:00",2023,May,1,,1,,,1,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.50705, -111.418426","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0551,2023.MMP0551,"North America","Wed, 05/10/2023 - 12:00",2023,May,1,,1,,,,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.91974, -111.99138","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0552,2023.MMP0552,"North America","Tue, 05/23/2023 - 12:00",2023,May,1,,1,,,1,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location) - Est. YOD 2023","Pima County Office of the Medical Examiner","31.658901, -111.647429","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0553,2023.MMP0553,"North America","Thu, 06/01/2023 - 12:00",2023,June,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,"Cochise County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.3338889, -109.378889","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0554,2023.MMP0554,"North America","Fri, 06/02/2023 - 12:00",2023,June,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Guatemala,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.85615, -111.367917","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0555,2023.MMP0555,"North America","Sun, 06/04/2023 - 12:00",2023,June,1,,1,,,,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.621572, -111.796203","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0556,2023.MMP0556,"North America","Sun, 06/04/2023 - 12:00",2023,June,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Guatemala,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.970125, -111.729789","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0557,2023.MMP0557,"North America","Sun, 06/11/2023 - 12:00",2023,June,1,,1,,1,,,"Central America",Violence,Mexico,"West Kil Ranch Road & Pearce Road, Cochise County, Arizona, USA","Pima County Office of the Medical Examiner","31.79088167, -109.813157","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0558,2023.MMP0558,"North America","Sun, 06/11/2023 - 12:00",2023,June,1,,1,,,1,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.88519, -112.14708","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0559,2023.MMP0559,"North America","Mon, 06/12/2023 - 12:00",2023,June,1,,1,,,,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.88531, -112.14698","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0560,2023.MMP0560,"North America","Thu, 06/15/2023 - 12:00",2023,June,1,,1,,,,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.791041, -111.495712","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0561,2023.MMP0561,"North America","Sun, 06/18/2023 - 12:00",2023,June,1,,1,,1,,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Guatemala,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.792662, -111.810447","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0562,2023.MMP0562,"North America","Wed, 06/21/2023 - 12:00",2023,June,1,,1,,,1,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Santa Cruz County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.46879, -111.20768","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0563,2023.MMP0563,"North America","Fri, 06/23/2023 - 12:00",2023,June,1,,1,,,1,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.61317, -111.39525","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0564,2023.MMP0564,"North America","Fri, 06/23/2023 - 12:00",2023,June,1,,1,,,,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.8612, -111.72915","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0565,2023.MMP0565,"North America","Fri, 06/30/2023 - 12:00",2023,June,1,,1,,,,,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Cochise County, Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner","31.38137, -109.41022","US-Mexico border crossing",https://humaneborders.info/app/mapa.asp,"Northern America",5
2023.MMP0566,2023.MMP0566,"Western Asia","Wed, 07/19/2023 - 12:00",2023,July,1,,1,,,,,"Western Asia",Violence,"Syrian Arab Republic","Jayroun, Lebanon","Baladi News","34.43297712, 36.107109",,http://archive.today/tFZ34,Uncategorized,1
2023.MMP0567,2023.MMP0567,"Northern Africa","Sat, 07/22/2023 - 12:00",2023,July,5,,5,,,,,Unknown,"Mixed or unknown",Unknown,"Bersis 50 KM of Benghazi, Libya","Libyan Red Crescent via IOM Libya","32.10260631, 20.072957",,,"Northern Africa",4
2023.MMP0568,2023.MMP0568,Mediterranean,"Sun, 07/23/2023 - 12:00",2023,July,1,,1,,,,,Unknown,Drowning,Unknown,"Remains found near Um'alrazam 100 km northeast of Benghazi, Libya","Libya National Safety Authority in East via IOM Libya","32.23812491, 20.149743","Central Mediterranean",,Uncategorized,4
2023.MMP0569,2023.MMP0569,"Northern Africa","Wed, 07/19/2023 - 12:00",2023,July,1,,1,,,1,,Unknown,"Mixed or unknown",Unknown,"Body recovered at unspecified location in desert in Libya, presumably after alleged forced expulsion from Tunisia","IOM Libya","32.94655961, 11.532978",,,"Northern Africa",4
2023.MMP0570,2023.MMP0570,"Northern Africa","Wed, 07/19/2023 - 12:00",2023,July,3,,3,,3,,,Unknown,"Mixed or unknown",Unknown,"Survivors rescued from Tawil Rutba, near Al-Assah, Libya after alleged forced expulsion from Tunisia","IOM Libya","32.80827441, 11.584487",,,"Northern Africa",4
2023.MMP0571,2023.MMP0571,"Northern Africa","Sat, 07/22/2023 - 12:00",2023,July,1,,1,,1,,,Unknown,"Mixed or unknown",Unknown,"Body recovered near Tawil Rutba, Libya, presumably after alleged forced expulsion from Tunisia","IOM Libya","32.80827441, 11.584487",,,"Northern Africa",4
2023.MMP0572,2023.MMP0572,"Northern Africa","Sun, 07/23/2023 - 12:00",2023,July,1,,1,,1,,,"Western Africa","Mixed or unknown","Sierra Leone","Body recovered near Tawil Rutba, Libya, presumably after alleged forced expulsion from Tunisia","IOM Libya","32.80827441, 11.584487",,,"Northern Africa",4
2023.MMP0573,2023.MMP0573,"Northern Africa","Sun, 07/23/2023 - 12:00",2023,July,1,,1,10,,1,,Unknown,"Mixed or unknown",Unknown,"Body recovered near Tawil Rutba, Libya, presumably after alleged forced expulsion from Tunisia","IOM Libya","32.80827441, 11.584487",,,"Northern Africa",4
2023.MMP0574,2023.MMP0574,"Northern Africa","Mon, 07/24/2023 - 12:00",2023,July,1,,1,84,,,,"Sub-Saharan Africa (P)","Mixed or unknown",Unknown,"Around 8.5 nautical miles (15.7 km) from Gran Canaria, Spain - disembarked at Arguineguin port","112 Canarias, Reuters","27.71705882, -15.416383","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/NnwsH, https://archive.ph/t46YW",Uncategorized,5
2023.MMP0575,2023.MMP0575,"Central America","Thu, 07/13/2023 - 12:00",2023,July,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo by La Isla del Mudo, Piedras Negras, Coahuila, Mexico","El Tiempo, Zócalo, Super Channel 12","28.72947721, -100.508222","US-Mexico border crossing","https://archive.ph/WoPph, https://archive.ph/Hr0kJ, https://archive.ph/TXWs3","Central America",3
2023.MMP0576,2023.MMP0576,"North America","Wed, 07/12/2023 - 12:00",2023,July,1,,1,,,,1,"Latin America / Caribbean (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Near Burk Ranch, close to US 57, Eagle Pass, Maverick County, Texas, United States of America","Zócalo, Super Channel 12, Periodico La Voz","28.70548522, -100.508516","US-Mexico border crossing","https://archive.ph/ZVbsR, https://archive.ph/nLUVb, https://archive.ph/RhaiX","Northern America",3
2023.MMP0577,2023.MMP0577,"Central America","Sat, 07/15/2023 - 12:00",2023,July,1,,1,,,1,,"Latin America / Caribbean (P)","Vehicle accident / death linked to hazardous transport",Unknown,"Ferromex Yards in Ciudad Juarez, Chihuahua, Mexico","El Diario de Chihuahua, Diario MX","31.74892076, -106.498136","US-Mexico border crossing","https://archive.ph/LVTOv, https://archive.ph/rpxpL","Central America",3
2023.MMP0578,2023.MMP0578,"North America","Fri, 07/07/2023 - 12:00",2023,July,1,,1,,,1,,"Central America","Mixed or unknown",Mexico,"Fruit Stand & Orchards, Osooyos, British Columbia, Canada","Gendarmerie royale du Canada, El Mañana","49.02831207, -119.432156",,"https://archive.ph/k8uie, https://archive.ph/jgWtL","Northern Africa",5
2023.MMP0579,2023.MMP0579,"Central America","Tue, 07/04/2023 - 12:00",2023,July,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Honduras,"Near San Rafael housing unit, San Francisco Coacalco, Ciudad de Mexico, Mexico","El Sol de Toluca","19.64315027, -99.084743",,https://archive.ph/AgfJd,"Central America",1
2023.MMP0580,2023.MMP0580,"North America","Tue, 07/18/2023 - 12:00",2023,July,1,,1,,,,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Honduras,"Close to Burr Ranch, Eagle Pass, Maverick County, Texas",Zócalo,"28.75757409, -100.495931","US-Mexico border crossing",https://archive.ph/W9wGG,"Northern America",1
2023.MMP0581,2023.MMP0581,"Central America","Thu, 07/13/2023 - 12:00",2023,July,1,,1,,,,,"Central America","Vehicle accident / death linked to hazardous transport",Honduras,"Railroad tracks close to Jabonoso Boulevard, Miguel de la Madrid, Gomez Palacio, Durango, Mexico","El Siglo de Torreón, El Sol de la Laguna","25.59890362, -103.472666","US-Mexico border crossing","https://archive.ph/mFtpC, https://archive.ph/jxunx","Central America",3
2023.MMP0582,2023.MMP0582,"Central America","Wed, 07/19/2023 - 12:00",2023,July,3,,3,8,,,,"South America","Vehicle accident / death linked to hazardous transport","Venezuela (Bolivarian Republic of)","Dirt road near to Medio Queso River, Los Chiles, Alajuela, Costa Rica (transborder space with Nicaragua)","Teletica, Repretel, La Nacion","11.05267717, -84.681593",,"https://archive.ph/Iby47, https://archive.ph/ihg4v, https://archive.ph/CRFko","Central America",3
2023.MMP0583,2023.MMP0583,"Western Asia","Sun, 07/23/2023 - 12:00",2023,July,4,,4,,,4,,"Western Asia","Vehicle accident / death linked to hazardous transport","Syrian Arab Republic","In Ipsala, Edirne province, Türkiye - travelling from Izmir towards Thessaloniki, Greece.","Andalou Agency, Son Dakika, Orient News","40.91271268, 26.369657","Türkiye-Europe land route","https://archive.ph/AypOI, https://archive.ph/wBxYR, https://archive.ph/6Ydzv, https://twitter.com/OrientNews/status/1683758248879353862?s=20","Western Asia",3
2023.MMP0584,2023.MMP0584,"Western Asia","Wed, 07/26/2023 - 12:00",2023,July,2,,2,,,2,,"Western Africa (P)","Vehicle accident / death linked to hazardous transport",Unknown,"At the Kapıkule Türkiye-Bulgaria Border Gate, Edirne, Türkiye","Son Dakika, Hurriyet","41.71697242, 26.351489","Türkiye-Europe land route","https://archive.ph/qVaGR, https://archive.ph/c3Qtu","Western Asia",3
2023.MMP0586,2023.MMP0586,"Northern Africa","Thu, 07/20/2023 - 12:00",2023,July,13,,13,6,,,,"Western Africa",Drowning,Senegal,"Off the coasts of Dakhla, Western Sahara - 6 survivors are being treated in Al-Dakhla Hospital","Barron's News, InfoMigrants, IOM Morrocco","23.72836078, -15.901632","Western Africa / Atlantic route to the Canary Islands","http://archive.today/Ukd01, http://archive.today/XAGQJ",Uncategorized,4
2023.MMP0587,2023.MMP0587,"Northern Africa","Fri, 07/21/2023 - 12:00",2023,July,6,,6,48,,,,Mixed,Drowning,Unknown,"Unspecified location off the coast of Nador, Morocco","El Nashra, Swiss Info; CGTN, IOM Morrocco","35.17187365, -2.903182","Western Africa / Atlantic route to the Canary Islands","http://archive.today/BE184, http://archive.today/LMVbE, http://archive.today/mANEh",Uncategorized,4
2023.MMP0588,2023.MMP0588,"Western Africa","Mon, 07/24/2023 - 12:00",2023,July,16,37,53,2,2,,,"Western Africa (P)",Drowning,Unknown,"Off the coast of Ouakam, Dakar, Senegal","IOM Senegal","14.71870705, -17.506255","Western Africa / Atlantic route to the Canary Islands",,Uncategorized,4
2023.MMP0589,2023.MMP0589,Mediterranean,"Tue, 03/07/2023 - 12:00",2023,March,1,,1,,1,,,"Western Africa","Sickness / lack of access to adequate healthcare","Côte d'Ivoire","Died 2 days after arrival in Lampedusa, Italy, due to pulmonary edema caused by conditions on the crossing",UNHCR,"35.50646131, 12.61234","Central Mediterranean",,Uncategorized,4
2023.MMP0590,2023.MMP0590,Mediterranean,"Fri, 03/24/2023 - 12:00",2023,March,,1,1,39,1,,,Unknown,Drowning,Unknown,"Unspecified location off the coast of Tunisia, boat capsized during GDF SAR operations",UNHCR,"35.02310395, 11.425351","Central Mediterranean",,Uncategorized,4
2023.MMP0591,2023.MMP0591,Mediterranean,"Sun, 03/26/2023 - 12:00",2023,March,1,,1,311,,1,,"Southern Asia","Sickness / lack of access to adequate healthcare",Pakistan,"Died due to lack of insulin on 2-day journey shortly after disembarkation in Roccella Ionica, Calabria, Italy. Departed from Libya.",UNHCR,"38.32879275, 16.432499","Central Mediterranean",,Uncategorized,4
2023.MMP0592,2023.MMP0592,Mediterranean,"Sun, 04/09/2023 - 12:00",2023,April,1,,1,38,,1,,Unknown,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Died shortly after arrival in Lampedusa, Italy due to hypothermia after falling into the water in the high seas (but then reboarding the boat at sea). Departed from Libya.",UNHCR,"35.50646131, 12.61234","Central Mediterranean",,Uncategorized,4
2023.MMP0593,2023.MMP0593,Mediterranean,"Sun, 04/09/2023 - 12:00",2023,April,,1,1,37,,1,,"Western Africa",Drowning,"Burkina Faso","Unspecified location in Maltese SAR zone, rescued by NGO boat Nadir and 3 fishing boats",UNHCR,"35.24245706, 13.555433","Central Mediterranean",,Uncategorized,4
2023.MMP0594,2023.MMP0594,"North America","Thu, 07/20/2023 - 12:00",2023,July,1,,1,,,1,,"Central America","Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,"Near to US-57 Highway close to Olmos Ranch, Eagle Pass, Maverick County, Texas, United States of America","Periodico La Voz, Super Channel 12","28.74800359, -100.43259","US-Mexico border crossing","https://archive.ph/7MovR, https://archive.ph/S1VIZ","Northern America",3
2023.MMP0595,2023.MMP0595,"Central America","Thu, 07/20/2023 - 12:00",2023,July,1,,1,,,1,,"Central America","Mixed or unknown",Honduras,"In Colonia Presidentes, close to the Rio Bravo, Piedras Negras, Coahuila, Mexico","Zócalo, Super Channel 12","28.67874699, -100.515823","US-Mexico border crossing","https://archive.ph/bmC3u, https://archive.ph/VpYOJ","Central America",3
2023.MMP0596,2023.MMP0596,"South America","Sat, 07/22/2023 - 12:00",2023,July,10,,10,33,2,6,2,"South America","Vehicle accident / death linked to hazardous transport","Venezuela (Bolivarian Republic of)","Near El Playon, El Playon, Santander Department, Colombia","Transit and Transportation Directorate Colombia, El Tiempo, El Espectador, Caracol Radio, Infobae","7.473888256, -73.206157",,"https://twitter.com/TransitoPolicia/status/1682878567112220673, https://archive.ph/PsN4h, https://archive.ph/hvJNS, https://archive.ph/UqVhI, https://archive.ph/YzAkF, https://archive.ph/UoWhT","South America",5
2023.MMP0597,2023.MMP0597,"Central America","Thu, 07/13/2023 - 12:00",2023,July,1,,1,,,1,,"South America","Mixed or unknown",Colombia,"Close to Monterrey-Reynosa Highway, General Bravo, Nuevo Leon, Mexico",Infobae,"25.78242005, -99.288858","US-Mexico border crossing",https://archive.ph/vvxOS,"Central America",1
2023.MMP0598,2023.MMP0598,"Central America","Fri, 07/21/2023 - 12:00",2023,July,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo by La Mision neighborhood, Ciudad Acuña, Coahuila, Mexico","Zócalo, El Mañana","29.30972638, -100.900348","US-Mexico border crossing","https://archive.ph/COaTJ, https://archive.ph/7EOmy","Central America",3
2023.MMP0599,2023.MMP0599,"Central America","Fri, 07/21/2023 - 12:00",2023,July,1,,1,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo close to ""Lucha Social"" neighborhood, Ciudad Miguel Aleman, Tamaulipas, Mexico","La Tarde","26.40197413, -99.052741","US-Mexico border crossing",https://archive.ph/cR7p1,"Central America",1
2023.MMP0600,2023.MMP0600,"Central America","Sat, 07/22/2023 - 12:00",2023,July,1,,1,,,1,,"Latin America / Caribbean (P)","Vehicle accident / death linked to hazardous transport",Unknown,"Railroad tracks near Ejido El Avileño, Nava, Coahuila, Mexico",Zócalo,"28.43849616, -100.754604","US-Mexico border crossing","https://archive.ph/CcIK1, https://archive.ph/vWKGR","Central America",3
2023.MMP0601,2023.MMP0601,"South America","Sat, 07/22/2023 - 12:00",2023,July,1,,1,,,1,,"South America",Violence,"Venezuela (Bolivarian Republic of)","Undetermined forest location in Guyana","El Nacional de Venezuela, El Regional de Zulia","7.217752291, -60.521973",,"https://archive.ph/uiDxs, https://archive.ph/xJlDT","South America",3
2023.MMP0602,2023.MMP0602,"Central America","Sun, 07/23/2023 - 12:00",2023,July,1,,1,,,1,,"Central America","Vehicle accident / death linked to hazardous transport",Guatemala,"Saltillo General Hospital, Calle Fray Landín, Saltillo, Coahuila, México - from injuries suffered in car accident on 24 June","El Siglo de Torreon","25.41226941, -100.958715",,https://archive.ph/UYCXv,"Central America",1
2023.MMP0603,2023.MMP0603,"Central America","Mon, 07/24/2023 - 12:00",2023,July,1,,1,,,1,,"Central America","Accidental death",Honduras,"Undetermined Location in Tapachula, Chiapas, Mexico","La Prensa Honduras, Milenio","14.90571474, -92.264006","US-Mexico border crossing","https://archive.ph/NJRGI, https://archive.ph/KBSED","Central America",3
2023.MMP0604,2023.MMP0604,"North America","Fri, 06/23/2023 - 12:00",2023,June,1,,1,,,1,,"Central America","Accidental death",Mexico,"Close to secondary border fence on San Luis, Yuma County, Arizona, United States of America","US Border Patrol, Infobae","32.47419619, -114.736859","US-Mexico border crossing","https://archive.ph/XmThQ, https://archive.ph/ytuOP","Northern America",5
2023.MMP0605,2023.MMP0605,"Northern Africa","Sun, 07/23/2023 - 12:00",2023,July,,2,2,,,,,"Sub-Saharan Africa (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Unspecified location in desert in Tunisia, along the border with Libya, between Ra's Ajdir and Al Assah","IOM Libya","33.08571203, 11.509263",,,"Northern Africa",4
2023.MMP0606,2023.MMP0606673,"Northern Africa","Wed, 07/26/2023 - 12:00",2023,July,9,,9,,2,6,2,"Sub-Saharan Africa (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Unspecified location between Ra's Ajdir and Al Assah, Libya, along the border with Tunisia","IOM Libya, Libya Ministry of Justice","32.94810449, 11.549077",,,"Northern Africa",4
2023.MMP0606,2023.MMP0606674,"Northern Africa","Thu, 07/27/2023 - 12:00",2023,July,1,,1,,,1,,"Northern Africa","Harsh environmental conditions / lack of adequate shelter, food, water",Sudan,"Unspecified location between Ra's Ajdir and Al Assah, Libya, along the border with Tunisia","IOM Libya, Libya Ministry of Justice","32.94810449, 11.549077",,,"Northern Africa",4
2023.MMP0606,2023.MMP0606675,"Northern Africa","Fri, 07/28/2023 - 12:00",2023,July,1,,1,,1,,,"Western Africa","Harsh environmental conditions / lack of adequate shelter, food, water","Sierra Leone","Unspecified location between Ra's Ajdir and Al Assah, Libya, along the border with Tunisia","IOM Libya, Libya Ministry of Justice","32.94810449, 11.549077",,,"Northern Africa",4
2023.MMP0607,2023.MMP0607,Mediterranean,"Sat, 07/22/2023 - 12:00",2023,July,1,,1,33,,1,,"Northern Africa","Mixed or unknown",Morocco,"Off the coast of Adra, Almeria, Spain","EFE, Publico, Heroes del mar","36.74077421, -3.019314","Western Mediterranean","https://archive.ph/mJvKl, https://archive.ph/0gu0t",Uncategorized,4
2023.MMP0608,2023.MMP0608677,Mediterranean,"Mon, 04/24/2023 - 12:00",2023,April,,15,15,,,,,"Western Asia",Drowning,"Syrian Arab Republic","Unspecified location between Oran, Algeria and Almeria, Spain",CIPIMD,"36.54723704, -1.712056","Western Mediterranean",,Uncategorized,4
2023.MMP0608,2023.MMP0608678,Mediterranean,"Tue, 04/25/2023 - 12:00",2023,April,,2,2,,,,,"Northern Africa",Drowning,Algeria,"Unspecified location between Oran, Algeria and Almeria, Spain",CIPIMD,"36.54723704, -1.712056","Western Mediterranean",,Uncategorized,4
2023.MMP0610,2023.MMP0610,Mediterranean,"Tue, 04/25/2023 - 12:00",2023,April,,24,24,,,,,"Northern Africa",Drowning,Morocco,"Embarkation from the coasts of Azemmour, Morocco en route to Cádiz, Spain - 'Atlantic Route'",CIPIMD,"33.50740635, -8.338018","Western Mediterranean",,Uncategorized,4
2023.MMP0611,2023.MMP0611,Mediterranean,"Mon, 05/08/2023 - 12:00",2023,May,,14,14,,,,,"Northern Africa (P)",Drowning,Unknown,"Embarkation from the coasts of Tipaza, Algeria en route to Alicante, Spain",CIPIMD,"36.63228135, 2.468432","Western Mediterranean",,Uncategorized,4
2023.MMP0612,2023.MMP0612,Mediterranean,"Mon, 06/05/2023 - 12:00",2023,June,,1,1,27,,,,"Northern Africa (P)",Drowning,Mixed,"Embaraktion of the coasts of Tipaza, Algeria en route Alicante, Spain",CIPIMD,"36.61549467, 2.455389","Western Mediterranean",,Uncategorized,4
2023.MMP0614,2023.MMP0614,Mediterranean,"Sun, 06/11/2023 - 12:00",2023,June,,14,14,2,,,,"Northern Africa (P)",Drowning,Unknown,"Off the coast  of Balearic Islands, Spain - embarkation from Boumerdes, Algeria",CIPIMD,"38.99427241, 1.890798","Western Mediterranean",,Uncategorized,4
2023.MMP0615,2023.MMP0615683,Mediterranean,"Thu, 06/29/2023 - 12:00",2023,June,,2,2,,,,,"Northern Africa",Drowning,Algeria,"Embarkation from the coasts of Oran, Algeria en route to Almeria, Spain",CIPIMD,"36.32699583, -0.934672","Western Mediterranean",,Uncategorized,4
2023.MMP0615,2023.MMP0615684,Mediterranean,"Thu, 06/29/2023 - 12:00",2023,June,,12,12,,,,,"Northern Africa",Drowning,Morocco,"Embarkation from the coasts of Oran, Algeria en route to Almeria, Spain",CIPIMD,"36.32699583, -0.934672","Western Mediterranean",,Uncategorized,4
2023.MMP0616,2023.MMP0616,Europe,"Tue, 08/01/2023 - 12:00",2023,August,1,,1,6,,2,1,"Western Asia (P)","Vehicle accident / death linked to hazardous transport",Unknown,"Kecskemet, Hungary","Hungarian Police report, InfoMigrants","46.890955, 19.647471","Türkiye-Europe land route","https://archive.ph/xhSU6, https://archive.ph/LhGV6","Eastern Europe",3
2023.MMP0617,2023.MMP0617,"Northern Africa","Thu, 06/22/2023 - 12:00",2023,June,,51,51,,,,,"Northern Africa",Drowning,Morocco,"Unspecified location in the Atlantic - embarked from Agadir, Morocco on night of 10-11 Jun","Alarm Phone, InfoMigrants, New Arab, AlAraby","30.30599353, -11.428941","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/b3FiN, https://archive.vn/mQxqh, https://archive.vn/5fL17",Uncategorized,4
2023.MMP0618,2023.MMP0618,Mediterranean,"Sat, 08/05/2023 - 12:00",2023,August,2,31,33,59,1,,1,"Western Africa (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"About 25 miles south-west of Lampedusa - embarked from Sfax, Tunisia on 3 August","IOM Italy, The Guardian, ANSA Italy","34.934474, 12.410204","Central Mediterranean","https://archive.ph/Nt0n7, https://archive.ph/qYE0Q",Uncategorized,4
2023.MMP0619,2023.MMP0619,"Central America","Mon, 07/31/2023 - 12:00",2023,July,1,,1,,,1,,"South America","Vehicle accident / death linked to hazardous transport",Ecuador,"Calle Decima Octava, Braulio Fernández Aguirre, Torreón, Coahuila, México","Zócalo, Primicias Ecuador","25.51136119, -103.425755","US-Mexico border crossing","https://archive.ph/f0Sa1, https://archive.ph/JOQC9","Central America",3
